,dep,jour,P,cl_age90,pop
3662,02,2020-08-18,9,0,526050.0
3673,02,2020-08-19,13,0,526050.0
3684,02,2020-08-20,11,0,526050.0
3695,02,2020-08-21,13,0,526050.0
3706,02,2020-08-22,14,0,526050.0
3717,02,2020-08-23,1,0,526050.0
3728,02,2020-08-24,9,0,526050.0
3739,02,2020-08-25,10,0,526050.0
3750,02,2020-08-26,25,0,526050.0
3761,02,2020-08-27,15,0,526050.0
3772,02,2020-08-28,25,0,526050.0
3783,02,2020-08-29,8,0,526050.0
3794,02,2020-08-30,0,0,526050.0
3805,02,2020-08-31,22,0,526050.0
3816,02,2020-09-01,29,0,526050.0
3827,02,2020-09-02,16,0,526050.0
3838,02,2020-09-03,15,0,526050.0
3849,02,2020-09-04,22,0,526050.0
3860,02,2020-09-05,10,0,526050.0
3871,02,2020-09-06,3,0,526050.0
3882,02,2020-09-07,27,0,526050.0
3893,02,2020-09-08,24,0,526050.0
3904,02,2020-09-09,29,0,526050.0
3915,02,2020-09-10,36,0,526050.0
3926,02,2020-09-11,48,0,526050.0
3937,02,2020-09-12,24,0,526050.0
3948,02,2020-09-13,6,0,526050.0
3959,02,2020-09-14,46,0,526050.0
3970,02,2020-09-15,36,0,526050.0
3981,02,2020-09-16,52,0,526050.0
3992,02,2020-09-17,50,0,526050.0
4003,02,2020-09-18,37,0,526050.0
4014,02,2020-09-19,27,0,526050.0
4025,02,2020-09-20,0,0,526050.0
4036,02,2020-09-21,44,0,526050.0
4047,02,2020-09-22,42,0,526050.0
4058,02,2020-09-23,38,0,526050.0
4069,02,2020-09-24,50,0,526050.0
4080,02,2020-09-25,37,0,526050.0
4091,02,2020-09-26,37,0,526050.0
4102,02,2020-09-27,7,0,526050.0
4113,02,2020-09-28,37,0,526050.0
4124,02,2020-09-29,40,0,526050.0
4135,02,2020-09-30,36,0,526050.0
4146,02,2020-10-01,68,0,526050.0
4157,02,2020-10-02,55,0,526050.0
4168,02,2020-10-03,30,0,526050.0
4179,02,2020-10-04,3,0,526050.0
4190,02,2020-10-05,75,0,526050.0
4201,02,2020-10-06,101,0,526050.0
4212,02,2020-10-07,81,0,526050.0
4223,02,2020-10-08,110,0,526050.0
4234,02,2020-10-09,101,0,526050.0
4245,02,2020-10-10,71,0,526050.0
4256,02,2020-10-11,4,0,526050.0
4267,02,2020-10-12,130,0,526050.0
4278,02,2020-10-13,169,0,526050.0
4289,02,2020-10-14,127,0,526050.0
4300,02,2020-10-15,189,0,526050.0
4311,02,2020-10-16,198,0,526050.0
4322,02,2020-10-17,96,0,526050.0
4333,02,2020-10-18,6,0,526050.0
4344,02,2020-10-19,243,0,526050.0
4355,02,2020-10-20,279,0,526050.0
4366,02,2020-10-21,191,0,526050.0
4377,02,2020-10-22,336,0,526050.0
4388,02,2020-10-23,302,0,526050.0
4399,02,2020-10-24,165,0,526050.0
4410,02,2020-10-25,10,0,526050.0
4421,02,2020-10-26,276,0,526050.0
4432,02,2020-10-27,334,0,526050.0
4443,02,2020-10-28,279,0,526050.0
4454,02,2020-10-29,304,0,526050.0
4465,02,2020-10-30,311,0,526050.0
4476,02,2020-10-31,195,0,526050.0
4487,02,2020-11-01,16,0,526050.0
4498,02,2020-11-02,321,0,526050.0
4509,02,2020-11-03,315,0,526050.0
4520,02,2020-11-04,297,0,526050.0
4531,02,2020-11-05,309,0,526050.0
4542,02,2020-11-06,284,0,526050.0
4553,02,2020-11-07,218,0,526050.0
4564,02,2020-11-08,12,0,526050.0
4575,02,2020-11-09,270,0,526050.0
4586,02,2020-11-10,278,0,526050.0
4597,02,2020-11-11,18,0,526050.0
4608,02,2020-11-12,224,0,526050.0
4619,02,2020-11-13,232,0,526050.0
4630,02,2020-11-14,118,0,526050.0
4641,02,2020-11-15,13,0,526050.0
4652,02,2020-11-16,156,0,526050.0
4663,02,2020-11-17,157,0,526050.0
4674,02,2020-11-18,146,0,526050.0
4685,02,2020-11-19,173,0,526050.0
4696,02,2020-11-20,138,0,526050.0
4707,02,2020-11-21,70,0,526050.0
4718,02,2020-11-22,5,0,526050.0
4729,02,2020-11-23,144,0,526050.0
4740,02,2020-11-24,117,0,526050.0
4751,02,2020-11-25,102,0,526050.0
4762,02,2020-11-26,138,0,526050.0
4773,02,2020-11-27,103,0,526050.0
4784,02,2020-11-28,46,0,526050.0
4795,02,2020-11-29,10,0,526050.0
4806,02,2020-11-30,106,0,526050.0
4817,02,2020-12-01,138,0,526050.0
4828,02,2020-12-02,97,0,526050.0
4839,02,2020-12-03,110,0,526050.0
4850,02,2020-12-04,143,0,526050.0
4861,02,2020-12-05,91,0,526050.0
4872,02,2020-12-06,19,0,526050.0
4883,02,2020-12-07,167,0,526050.0
4894,02,2020-12-08,135,0,526050.0
4905,02,2020-12-09,135,0,526050.0
4916,02,2020-12-10,178,0,526050.0
4927,02,2020-12-11,209,0,526050.0
4938,02,2020-12-12,101,0,526050.0
4949,02,2020-12-13,9,0,526050.0
4960,02,2020-12-14,247,0,526050.0
4971,02,2020-12-15,203,0,526050.0
4982,02,2020-12-16,265,0,526050.0
4993,02,2020-12-17,298,0,526050.0
5004,02,2020-12-18,223,0,526050.0
5015,02,2020-12-19,117,0,526050.0
5026,02,2020-12-20,42,0,526050.0
5037,02,2020-12-21,245,0,526050.0
5048,02,2020-12-22,189,0,526050.0
5059,02,2020-12-23,192,0,526050.0
5070,02,2020-12-24,112,0,526050.0
5081,02,2020-12-25,4,0,526050.0
5092,02,2020-12-26,103,0,526050.0
5103,02,2020-12-27,16,0,526050.0
5114,02,2020-12-28,233,0,526050.0
5125,02,2020-12-29,221,0,526050.0
5136,02,2020-12-30,161,0,526050.0
5147,02,2020-12-31,149,0,526050.0
5158,02,2021-01-01,14,0,526050.0
5169,02,2021-01-02,133,0,526050.0
