,dep,jour,incid_hosp,incid_rea,incid_dc
287,02,2020-03-27,16,3,1
288,02,2020-03-28,26,2,4
289,02,2020-03-29,5,1,1
290,02,2020-03-30,9,4,2
291,02,2020-03-31,58,6,7
292,02,2020-04-01,41,4,8
293,02,2020-04-02,58,1,8
294,02,2020-04-03,59,5,18
295,02,2020-04-04,42,4,10
296,02,2020-04-05,7,0,6
297,02,2020-04-06,14,1,6
298,02,2020-04-07,67,3,9
299,02,2020-04-08,23,5,4
300,02,2020-04-09,39,4,9
301,02,2020-04-10,32,7,8
302,02,2020-04-11,25,0,4
303,02,2020-04-12,8,1,2
304,02,2020-04-13,9,0,5
305,02,2020-04-14,9,2,5
306,02,2020-04-15,28,4,3
307,02,2020-04-16,13,1,4
308,02,2020-04-17,18,1,6
309,02,2020-04-18,13,0,3
310,02,2020-04-19,8,1,1
311,02,2020-04-20,106,7,6
312,02,2020-04-21,93,1,13
313,02,2020-04-22,29,1,5
314,02,2020-04-23,24,1,1
315,02,2020-04-24,25,1,3
316,02,2020-04-25,10,0,4
317,02,2020-04-26,12,0,3
318,02,2020-04-27,4,0,2
319,02,2020-04-28,29,3,5
320,02,2020-04-29,16,4,5
321,02,2020-04-30,16,1,1
322,02,2020-05-01,6,0,2
323,02,2020-05-02,7,0,0
324,02,2020-05-03,1,0,4
325,02,2020-05-04,11,0,5
326,02,2020-05-05,20,0,3
327,02,2020-05-06,20,1,1
328,02,2020-05-07,29,4,2
329,02,2020-05-08,21,2,2
330,02,2020-05-09,0,0,1
331,02,2020-05-10,2,1,2
332,02,2020-05-11,14,2,4
333,02,2020-05-12,7,0,4
334,02,2020-05-13,13,0,3
335,02,2020-05-14,12,1,0
336,02,2020-05-15,5,0,2
337,02,2020-05-16,12,0,2
338,02,2020-05-17,3,0,3
339,02,2020-05-18,9,0,1
340,02,2020-05-19,3,1,0
341,02,2020-05-20,6,0,2
342,02,2020-05-21,1,0,0
343,02,2020-05-22,2,0,0
344,02,2020-05-23,1,0,3
345,02,2020-05-24,1,0,0
346,02,2020-05-25,5,0,2
347,02,2020-05-26,18,2,1
348,02,2020-05-27,2,0,1
349,02,2020-05-28,8,2,2
350,02,2020-05-29,6,1,2
351,02,2020-05-30,3,0,0
352,02,2020-05-31,0,0,1
353,02,2020-06-01,0,0,1
354,02,2020-06-02,2,1,1
355,02,2020-06-03,5,0,0
356,02,2020-06-04,3,2,1
357,02,2020-06-05,3,1,0
358,02,2020-06-06,1,0,0
359,02,2020-06-07,1,0,0
360,02,2020-06-08,4,0,3
361,02,2020-06-09,3,0,0
362,02,2020-06-10,1,0,0
363,02,2020-06-11,0,0,0
364,02,2020-06-12,4,1,0
365,02,2020-06-13,0,0,0
366,02,2020-06-14,0,0,0
367,02,2020-06-15,1,0,0
368,02,2020-06-16,6,0,2
369,02,2020-06-17,0,0,0
370,02,2020-06-18,4,0,0
371,02,2020-06-19,0,0,0
372,02,2020-06-20,2,0,0
373,02,2020-06-21,5,0,0
374,02,2020-06-22,0,0,0
375,02,2020-06-23,3,0,0
376,02,2020-06-24,0,0,1
377,02,2020-06-25,2,0,1
378,02,2020-06-26,0,0,0
379,02,2020-06-27,0,0,0
380,02,2020-06-28,0,0,0
381,02,2020-06-29,1,0,0
382,02,2020-06-30,0,0,0
383,02,2020-07-01,2,0,0
384,02,2020-07-02,1,0,0
385,02,2020-07-03,0,0,0
386,02,2020-07-04,1,0,0
387,02,2020-07-05,0,0,0
388,02,2020-07-06,0,0,0
389,02,2020-07-07,4,0,2
390,02,2020-07-08,1,1,0
391,02,2020-07-09,2,0,0
392,02,2020-07-10,0,0,0
393,02,2020-07-11,1,0,1
394,02,2020-07-12,0,0,0
395,02,2020-07-13,0,1,0
396,02,2020-07-14,0,0,0
397,02,2020-07-15,2,0,0
398,02,2020-07-16,1,0,0
399,02,2020-07-17,4,0,0
